state,state_po,county_str,office,special,candidate,party,writein,candidatevotes,won,MOV16,MOV18,18to16swing
Arizona,AZ,pinal_az,US Senator,False,Martha McSally,republican,False,63782.0,True,-0.19316667554999994,-0.11403381745389501,0.07913285809610493
Arizona,AZ,pinal_az,US Senator,False,,,True,35.0,False,-0.19316667554999994,-0.11403381745389501,0.07913285809610493
Arizona,AZ,santacruz_az,US Senator,False,Angela Green,green,False,418.0,False,0.471258207156,0.4013196915776987,-0.06993851557830127
Arizona,AZ,santacruz_az,US Senator,False,Kyrsten Sinema,democrat,False,9241.0,True,0.471258207156,0.4013196915776987,-0.06993851557830127
Arizona,AZ,santacruz_az,US Senator,False,Martha McSally,republican,False,3828.0,False,0.471258207156,0.4013196915776987,-0.06993851557830127
Arizona,AZ,santacruz_az,US Senator,False,,,True,1.0,False,0.471258207156,0.4013196915776987,-0.06993851557830127
Arizona,AZ,yavapai_az,US Senator,False,Angela Green,green,False,2870.0,False,-0.31425953869400003,-0.2320611250553669,0.08219841363863312
Arizona,AZ,yavapai_az,US Senator,False,Kyrsten Sinema,democrat,False,40160.0,False,-0.31425953869400003,-0.2320611250553669,0.08219841363863312
Arizona,AZ,yavapai_az,US Senator,False,Martha McSally,republican,False,65308.0,True,-0.31425953869400003,-0.2320611250553669,0.08219841363863312
Arizona,AZ,yavapai_az,US Senator,False,,,True,30.0,False,-0.31425953869400003,-0.2320611250553669,0.08219841363863312
Arizona,AZ,yuma_az,US Senator,False,Angela Green,green,False,1351.0,False,-0.055202531956000056,-0.060593597916238195,-0.0053910659602381394
Arizona,AZ,yuma_az,US Senator,False,Kyrsten Sinema,democrat,False,19880.0,False,-0.055202531956000056,-0.060593597916238195,-0.0053910659602381394
Arizona,AZ,yuma_az,US Senator,False,Martha McSally,republican,False,22532.0,True,-0.055202531956000056,-0.060593597916238195,-0.0053910659602381394
Arizona,AZ,yuma_az,US Senator,False,,,True,4.0,False,-0.055202531956000056,-0.060593597916238195,-0.0053910659602381394
California,CA,alameda_ca,US Senator,False,Dianne Feinstein,democrat,False,318377.0,True,0.644431216823,1.0,0.355568783177
California,CA,alameda_ca,US Senator,False,Kevin De Leon,democrat,False,226950.0,False,0.644431216823,1.0,0.355568783177
California,CA,alpine_ca,US Senator,False,Dianne Feinstein,democrat,False,267.0,False,0.18608695652199997,1.0,0.813913043478
California,CA,alpine_ca,US Senator,False,Kevin De Leon,democrat,False,280.0,True,0.18608695652199997,1.0,0.813913043478
California,CA,amador_ca,US Senator,False,Dianne Feinstein,democrat,False,5835.0,False,-0.25224019550800003,1.0,1.252240195508
California,CA,amador_ca,US Senator,False,Kevin De Leon,democrat,False,8244.0,True,-0.25224019550800003,1.0,1.252240195508
California,CA,butte_ca,US Senator,False,Dianne Feinstein,democrat,False,32418.0,False,-0.04003551629500002,1.0,1.0400355162950001
California,CA,butte_ca,US Senator,False,Kevin De Leon,democrat,False,43108.0,True,-0.04003551629500002,1.0,1.0400355162950001
California,CA,calaveras_ca,US Senator,False,Dianne Feinstein,democrat,False,7031.0,False,-0.23882869168099996,1.0,1.2388286916809998
California,CA,calaveras_ca,US Senator,False,Kevin De Leon,democrat,False,10357.0,True,-0.23882869168099996,1.0,1.2388286916809998
California,CA,colusa_ca,US Senator,False,Dianne Feinstein,democrat,False,1643.0,False,-0.13527449196199992,1.0,1.135274491962
California,CA,colusa_ca,US Senator,False,Kevin De Leon,democrat,False,3039.0,True,-0.13527449196199992,1.0,1.135274491962
California,CA,contracosta_ca,US Senator,False,Dianne Feinstein,democrat,False,222349.0,True,0.43473839585299995,1.0,0.565261604147
California,CA,contracosta_ca,US Senator,False,Kevin De Leon,democrat,False,158748.0,False,0.43473839585299995,1.0,0.565261604147
California,CA,delnorte_ca,US Senator,False,Dianne Feinstein,democrat,False,2590.0,False,-0.17615639354699997,1.0,1.176156393547
California,CA,delnorte_ca,US Senator,False,Kevin De Leon,democrat,False,4254.0,True,-0.17615639354699997,1.0,1.176156393547
California,CA,eldorado_ca,US Senator,False,Dianne Feinstein,democrat,False,33772.0,False,-0.138857757654,1.0,1.138857757654
California,CA,eldorado_ca,US Senator,False,Kevin De Leon,democrat,False,38791.0,True,-0.138857757654,1.0,1.138857757654
California,CA,fresno_ca,US Senator,False,Dianne Feinstein,democrat,False,103491.0,False,0.03880302400700003,1.0,0.9611969759929999
California,CA,fresno_ca,US Senator,False,Kevin De Leon,democrat,False,113557.0,True,0.03880302400700003,1.0,0.9611969759929999
California,CA,glenn_ca,US Senator,False,Dianne Feinstein,democrat,False,2341.0,False,-0.29032945943,1.0,1.29032945943
California,CA,glenn_ca,US Senator,False,Kevin De Leon,democrat,False,4388.0,True,-0.29032945943,1.0,1.29032945943
California,CA,humboldt_ca,US Senator,False,Dianne Feinstein,democrat,False,21336.0,False,0.25903793554499993,1.0,0.7409620644550001
California,CA,humboldt_ca,US Senator,False,Kevin De Leon,democrat,False,26319.0,True,0.25903793554499993,1.0,0.7409620644550001
California,CA,imperial_ca,US Senator,False,Dianne Feinstein,democrat,False,13121.0,False,0.4112955378309999,1.0,0.5887044621690001
California,CA,imperial_ca,US Senator,False,Kevin De Leon,democrat,False,17150.0,True,0.4112955378309999,1.0,0.5887044621690001
