year,state,state_po,county,office,district,stage,special,candidate,party,writein,candidatevotes
2018,California,CA,Butte,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,43108.0
2018,California,CA,Calaveras,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,7031.0
2018,California,CA,Calaveras,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,10357.0
2018,California,CA,Colusa,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,1643.0
2018,California,CA,Colusa,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,3039.0
2018,California,CA,Contra Costa,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,222349.0
2018,California,CA,Contra Costa,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,158748.0
2018,California,CA,Del Norte,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,2590.0
2018,California,CA,Del Norte,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,4254.0
2018,California,CA,El Dorado,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,33772.0
2018,California,CA,El Dorado,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,38791.0
2018,California,CA,Fresno,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,103491.0
2018,California,CA,Fresno,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,113557.0
2018,California,CA,Glenn,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,2341.0
2018,California,CA,Glenn,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,4388.0
2018,California,CA,Humboldt,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,21336.0
2018,California,CA,Humboldt,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,26319.0
2018,California,CA,Imperial,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,13121.0
2018,California,CA,Imperial,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,17150.0
2018,California,CA,Inyo,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,2344.0
2018,California,CA,Inyo,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,3532.0
2018,California,CA,Kern,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,66628.0
2018,California,CA,Kern,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,99981.0
2018,California,CA,Kings,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,9599.0
2018,California,CA,Kings,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,15748.0
2018,California,CA,Lake,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,8142.0
2018,California,CA,Lake,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,10317.0
2018,California,CA,Lassen,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,2030.0
2018,California,CA,Lassen,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,4788.0
2018,California,CA,Los Angeles,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,1565167.0
2018,California,CA,Los Angeles,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,1146044.0
2018,California,CA,Madera,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,13284.0
2018,California,CA,Madera,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,19032.0
2018,California,CA,Marin,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,80319.0
2018,California,CA,Marin,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,42638.0
2018,California,CA,Mariposa,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,2749.0
2018,California,CA,Mariposa,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,3939.0
2018,California,CA,Mendocino,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,15113.0
2018,California,CA,Mendocino,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,15529.0
2018,California,CA,Merced,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,23659.0
2018,California,CA,Merced,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,27985.0
2018,California,CA,Modoc,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,751.0
